시설년도,위치코드,시설구분1,쉼터명칭,도로명주소,경도,위도,X좌표(EPSG:5186),Y좌표(EPSG:5186)
2025,1121577000,특정계층이용시설,대원경로당,서울특별시 광진구 긴고랑로36길 57-27,127.091653,37.557602,208098.2284,550901.1782
2025,1121577000,공공시설,중곡4동주민센터,서울특별시 광진구  긴고랑로  131   (중곡동),127.0894508,37.5590837,207903.491,551065.442
2025,1121578000,특정계층이용시설,능동경로당,서울특별시 광진구 천호대로112길 70,127.0801892,37.5531677,207085.7356,550408.0978
2025,1121578000,공공시설,능동주민센터,서울특별시 광진구  천호대로112길  55   (능동),127.080446,37.5537961,207108.3674,550477.8621
2025,1121581000,공공시설,아차산숲속도서관,서울특별시 광진구 영화사로 139 (아차산숲속도서관),127.101997,37.551945,209012.8797,550274.26
2025,1111055000,공공시설,세검정스마트쉼터,,126.961287,37.602459,196581.4686,555876.5479
2025,1111055000,특정계층이용시설,부암경로당,서울특별시 종로구 자하문로 260 (부암동),126.9634272,37.5973744,196770.2381,555312.1378
2025,1111055000,특정계층이용시설,신영경로당,서울특별시 종로구 세검정로6길 76-19 (신영동),126.9636445,37.601291,196789.5962,555746.8296
2025,1111055000,공공시설,부암동주민센터,서울특별시 종로구 창의문로 145 (부암동),126.9640763,37.5924354,196827.3507,554763.9419
2025,1111056000,생활밀착민간시설,우리은행평창동지점,서울특별시 종로구 평창문화로 127 (이묵빌딩),126.973803,37.609606,197686.9088,556669.4045
2025,1111056000,생활밀착민간시설,세검정새마을금고본점,서울특별시 종로구 평창11길 6 (세검정새마을금고),126.96696,37.606108,197082.5624,556281.3554
2025,1111056000,특정계층이용시설,평창경로당,서울특별시 종로구 평창문화로 48 (평창동),126.9669154,37.6053178,197078.5934,556193.6532
2025,1111056000,특정계층이용시설,구기할아버지경로당,서울특별시 종로구 진흥로 438-6 (구기동),126.9564991,37.607804,196158.9504,556469.9693
2025,1111056000,공공시설,평창동주민센터,서울특별시 종로구 평창문화로 65 (평창동),126.9683786,37.6063867,197207.8355,556312.2449
2025,1111056000,특정계층이용시설,구기할머니경로당,서울특별시 종로구 진흥로 438-8 (구기동),126.9563703,37.607872,196147.5811,556477.5218
2025,1111057000,생활밀착민간시설,종로서부새마을금고본점,서울특별시 종로구 통일로14길 24 (MG종로서부새마을금고사옥),126.957941,37.575682,196284.671,552904.7299
2025,1111057000,공공시설,무악동주민센터,서울특별시 종로구 통일로14길 36 (무악동),126.9582278,37.5760029,196310.0217,552940.3348
2025,1111057000,특정계층이용시설,무악경로당,서울특별시 종로구 통일로14길 24-4,126.95817,37.575649,196304.8984,552901.0583
2025,1111057000,특정계층이용시설,무악제2경로당,서울특별시 종로구 통일로14길 24-4,126.958111,37.575647,196299.6864,552900.8386
2025,1111057000,특정계층이용시설,종로노인종합복지관무악센터,서울특별시 종로구 통일로14길 30,126.9580458,37.5758297,196293.936,552921.1188
